Page,出願記事,登録記事,権利者記事,発明等の名称(漢字)記事,請求項の数記事,登録細項目記事,最終納付年分記事,更新日付
page-6458269,特許2016-218122(2011/09/20),6458269,シンガポールマキシオン　ソーラー　プライベート　リミテッド,太陽電池の構造,7,本権利は抹消されていない存続期間満了日(2031/09/20),5年,(2022/12/28)
page-6458327,特許2016-567197(2015/03/18),6458327,ドイツ(501081166)フェデラル－モーグル・フリートベルク・ゲーエムベーハー,周方向に溝を備えるピストンリング,16,本権利は抹消されていない存続期間満了日(2035/03/18),5年,(2022/12/28)
page-6458950,特許2015-512905(2013/05/17),6458950,アメリカ合衆国(516384542)リアルディー　スパーク　エルエルシー,指向性ディスプレイ装置,21,本権利は抹消されていない存続期間満了日(2033/05/17),5年,(2022/12/28)
page-6460359,特許2017-537261(2015/01/30),6460359,アメリカ合衆国(511076424)ヒューレット－パッカード　デベロップメント　カンパニー　エル．ピー．,３次元オブジェクトの作製,15,本権利は抹消されていない存続期間満了日(2035/01/30),5年,(2022/12/28)
page-6460423,特許2016-537827(2014/08/27),6460423,アメリカ合衆国(507107291)テキサス　インスツルメンツ　インコーポレイテッド,バックコンバータ,5,本権利は抹消されていない存続期間満了日(2034/08/27),5年,(2022/12/28)
page-6460554,特許2017-536528(2015/01/30),6460554,アメリカ合衆国(511076424)ヒューレット－パッカード　デベロップメント　カンパニー　エル．ピー．,３Ｄ物体の生成,13,本権利は抹消されていない存続期間満了日(2035/01/30),5年,(2022/12/28)
page-6460621,特許2013-159051(2013/07/31),6460621,アメリカ合衆国(512132022)フィッシャー－ローズマウント　システムズ，インコーポレイテッド,稼働中のプロセスユニットにおけるアセットを監視するためのシステムおよび方法,20,本権利は抹消されていない存続期間満了日(2033/07/31),5年,(2022/12/28)
page-6460628,特許2013-530285(2011/09/21),6460628,アメリカ合衆国(512132022)フィッシャー－ローズマウント　システムズ，インコーポレイテッド,プロセス制御装置情報を表示する方法、並びに、装置,3,本権利は抹消されていない存続期間満了日(2031/09/21),5年,(2022/12/28)
page-6460643,特許2014-108422(2014/05/26),6460643,アメリカ合衆国(500080214)イー　インク　コーポレイション,表示媒体、表示装置及び表示媒体の製造方法,4,本権利は抹消されていない存続期間満了日(2034/05/26),5年,(2022/12/28)
page-6460767,特許2014-251960(2007/10/02),6460767,アメリカ合衆国(512132022)フィッシャー－ローズマウント　システムズ，インコーポレイテッド,プロセス制御ネットワークに統合された分析サーバ,9,本権利は抹消されていない存続期間満了日(2027/10/02),5年,(2022/12/28)
page-6460789,特許2014-513748(2012/06/01),6460789,アメリカ合衆国(505005049)スリーエム　イノベイティブ　プロパティズ　カンパニー,ポリエチレングリコールセグメントを有するヘテロ２官能性リンカー及び該リンカーから調製された免疫反応調節複合体,5,本権利は抹消されていない存続期間満了日(2032/06/01),5年,(2022/12/28)
page-6460790,特許2014-514599(2012/06/06),6460790,アメリカ合衆国(507213592)ボストン　サイエンティフィック　ニューロモデュレイション　コーポレイション,電気刺激システムのための改良されたリードを製造及び使用するシステム及び方法,20,本権利は抹消されていない存続期間満了日(2032/06/06),5年,(2022/12/28)
page-6460983,特許2015-520090(2013/07/03),6460983,オランダ国(510114594)バイオマリン　テクノロジーズ　ベー．フェー．,筋ジストロフィー患者の治療のためのオリゴヌクレオチド,19,本権利は抹消されていない存続期間満了日(2033/07/03),5年,(2022/12/28)
page-6460990,特許2015-531239(2013/09/06),6460990,アメリカ合衆国(391008847)ボシュ・アンド・ロム・インコーポレイテッド,硝子体およびその他の組織の除去のための振動性手術器具,23,本権利は抹消されていない存続期間満了日(2033/09/06),5年,(2022/12/28)
page-6461062,特許2016-187112(2011/09/27),6461062,アメリカ合衆国(512132022)フィッシャー－ローズマウント　システムズ，インコーポレイテッド,プロセス制御システムを仮想化するための方法および装置,24,本権利は抹消されていない存続期間満了日(2031/09/27),5年,(2022/12/28)
page-6461067,特許2016-203440(2011/11/29),6461067,アメリカ合衆国スリーエム　イノベイティブ　プロパティズ　カンパニー,線状創傷に使用するための減圧ドレッシング、システム、及び方法,5,本権利は抹消されていない存続期間満了日(2031/11/29),5年,(2022/12/28)
page-6461083,特許2016-502090(2014/03/13),6461083,アメリカ合衆国(518372567)テネコ・インコーポレイテッド,車両ランプソケットアセンブリ,20,本権利は抹消されていない存続期間満了日(2034/03/13),5年,(2022/12/28)
page-6461112,特許2016-517336(2014/09/26),6461112,アメリカ合衆国(597115727)ローズマウント　インコーポレイテッド,圧力隔離マニホールド,20,本権利は抹消されていない存続期間満了日(2034/09/26),5年,(2022/12/28)
page-6461115,特許2016-520042(2014/10/03),6461115,アメリカ合衆国(505005049)スリーエム　イノベイティブ　プロパティズ　カンパニー,装飾用マイクロスフェア物品,10,本権利は抹消されていない存続期間満了日(2034/10/03),5年,(2022/12/28)
page-6461149,特許2016-531789(2014/07/28),6461149,アメリカ合衆国(505005049)スリーエム　イノベイティブ　プロパティズ　カンパニー,無溶剤押出プロセスによる剥離フィルム,30,本権利は抹消されていない存続期間満了日(2034/07/28),5年,(2022/12/28)
page-6461180,特許2016-552946(2015/02/16),6461180,イギリス国(508296554)アトランティック・イナーシャル・システムズ・リミテッド,加速度計,12,本権利は抹消されていない存続期間満了日(2035/02/16),5年,(2022/12/28)
page-6461259,特許2017-148226(2011/03/25),6461259,フランス国(512249102)レスメド・パリ・ソシエテ・パ・アクシオンス・シンプリフィエ,呼吸治療装置用の呼吸可能ガス入口制御装置,31,本権利は抹消されていない存続期間満了日(2031/03/25),5年,(2022/12/28)
