Page,出願記事,登録記事,権利者記事,発明等の名称(漢字)記事,請求項の数記事,登録細項目記事,最終納付年分記事,更新日付
page-6461282,特許2017-207101(2011/04/21),6461282,イスラエル(512276429)ストラタシス　リミテッド,シェル物体の立体自由形状製作,12,本権利は抹消されていない存続期間満了日(2031/04/21),5年,(2022/12/28)
page-6461307,特許2017-507681(2015/04/16),6461307,アメリカ合衆国(507020152)メドトロニック，インコーポレイテッド,検出されるペーシングに応答した植え込み型カーディオバータ－除細動器（ＩＣＤ）の頻脈性不整脈検出修正,5,本権利は抹消されていない存続期間満了日(2035/04/16),5年,(2022/12/28)
page-6461324,特許2017-516346(2014/09/25),6461324,アメリカ合衆国(500205770)マイクロ　モーション　インコーポレイテッド,流量計のハウジング及び関連する方法,10,本権利は抹消されていない存続期間満了日(2034/09/25),5年,(2022/12/28)
page-6461464,特許2013-227103(2013/10/31),6461464,アメリカ合衆国(300019238)ジーイー・メディカル・システムズ・グローバル・テクノロジー・カンパニー・エルエルシー,磁気共鳴装置およびプログラム,12,本権利は抹消されていない存続期間満了日(2033/10/31),5年,(2022/12/28)
page-6461474,特許2014-015091(2014/01/30),6461474,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,ターボ機械用冷却構造,4,本権利は抹消されていない存続期間満了日(2034/01/30),5年,(2022/12/28)
page-6461502,特許2014-140996(2014/07/09),6461502,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,ガスタービン排出制御システムおよび方法,20,本権利は抹消されていない存続期間満了日(2034/07/09),5年,(2022/12/28)
page-6461567,特許2014-234081(2014/11/19),6461567,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,赤外線カメラデータの遠隔の送信、操作、および表示,13,本権利は抹消されていない存続期間満了日(2034/11/19),5年,(2022/12/28)
page-6461673,特許2015-066417(2015/03/27),6461673,アメリカ合衆国(300019238)ジーイー・メディカル・システムズ・グローバル・テクノロジー・カンパニー・エルエルシー,超音波診断装置、その制御プログラム及びシステム,11,本権利は抹消されていない存続期間満了日(2035/03/27),5年,(2022/12/28)
page-6461680,特許2015-071938(2015/03/31),6461680,アメリカ合衆国(300019238)ジーイー・メディカル・システムズ・グローバル・テクノロジー・カンパニー・エルエルシー,磁気共鳴装置およびプログラム,26,本権利は抹消されていない存続期間満了日(2035/03/31),5年,(2022/12/28)
page-6461830,特許2015-562160(2014/03/13),6461830,ベルギー(305060279)グラクソスミスクライン　バイオロジカルズ　ソシエテ　アノニム,ＲＮＡ精製方法,15,本権利は抹消されていない存続期間満了日(2034/03/13),5年,(2022/12/28)
page-6461880,特許2016-203997(2016/10/18),6461880,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,複数の加工ステップを用いたガスタービンエンジン部品の製造,5,本権利は抹消されていない存続期間満了日(2036/10/18),5年,(2022/12/28)
page-6461888,特許2016-222581(2016/11/15),6461888,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,ターボファンエンジンで使用するためのケーシングおよびそれから流体を排出する方法,10,本権利は抹消されていない存続期間満了日(2036/11/15),5年,(2022/12/28)
page-6461893,特許2016-241805(2011/01/19),6461893,アメリカ合衆国スリーエム　イノベイティブ　プロパティズ　カンパニー,流体潅流および陰圧創傷閉鎖療法のための創傷連結パッドおよびシステムと方法,30,本権利は抹消されていない存続期間満了日(2031/01/19),5年,(2022/12/28)
page-6461931,特許2016-519525(2014/05/29),6461931,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,管状検出器の自動溶接のための溶接継手形態,12,本権利は抹消されていない存続期間満了日(2034/05/29),5年,(2022/12/28)
page-6461932,特許2016-520565(2014/06/06),6461932,フランス国(505277691)サフラン・エアクラフト・エンジンズ,ターボ機械ディスク用の空洞を形成する方法,5,本権利は抹消されていない存続期間満了日(2034/06/06),5年,(2022/12/28)
page-6461933,特許2016-520652(2014/10/09),6461933,アメリカ合衆国(500239188)ヴァリアン　セミコンダクター　イクイップメント　アソシエイツ　インコーポレイテッド,イオン源及びイオン源を洗浄し動作させる方法,15,本権利は抹消されていない存続期間満了日(2034/10/09),5年,(2022/12/28)
page-6461967,特許2016-538951(2014/08/12),6461967,アメリカ合衆国(500239188)ヴァリアン　セミコンダクター　イクイップメント　アソシエイツ　インコーポレイテッド,静電チャック,15,本権利は抹消されていない存続期間満了日(2034/08/12),5年,(2022/12/28)
page-6461976,特許2016-542352(2014/09/10),6461976,フランス国(501107994)サフラン・ヘリコプター・エンジンズ,始動器による、動的シールでのコークス化の程度の監視,9,本権利は抹消されていない存続期間満了日(2034/09/10),5年,(2022/12/28)
page-6461979,特許2016-545975(2014/10/30),6461979,アメリカ合衆国(500239188)ヴァリアン　セミコンダクター　イクイップメント　アソシエイツ　インコーポレイテッド,基板をパターニングするシステム及び方法,13,本権利は抹消されていない存続期間満了日(2034/10/30),5年,(2022/12/28)
page-6461993,特許2016-557879(2015/03/17),6461993,イギリス国(508296554)アトランティック・イナーシャル・システムズ・リミテッド,加速度計,15,本権利は抹消されていない存続期間満了日(2035/03/17),5年,(2022/12/28)
page-6461994,特許2016-558007(2015/03/17),6461994,アメリカ合衆国(506192652)ボストン　サイエンティフィック　サイムド，インコーポレイテッド,肉芽および炎症を低減するステントの設計,11,本権利は抹消されていない存続期間満了日(2035/03/17),5年,(2022/12/28)
page-6462019,特許2017-020008(2017/02/07),6462019,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,積層造形ワークピースの放射線及びＣＴ検査方法,15,本権利は抹消されていない存続期間満了日(2037/02/07),5年,(2022/12/28)
page-6462024,特許2017-035729(2012/07/25),6462024,イタリア国(505347503)ヌオーヴォ　ピニォーネ　ソシエタ　ペル　アチオニ,転がり軸受を備えたターボコンプレッサトレイン及び関連する組み上げ方法,7,本権利は抹消されていない存続期間満了日(2032/07/25),5年,(2022/12/28)
page-6462026,特許2017-049282(2017/03/15),6462026,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,分岐する単位セルを含む熱交換器,12,本権利は抹消されていない存続期間満了日(2037/03/15),5年,(2022/12/28)
page-6462027,特許2017-050687(2006/12/15),6462027,アメリカ合衆国(390041542)ゼネラル・エレクトリック・カンパニイ,電気またはハイブリッド自動車用のエネルギー蓄積システム,6,本権利は抹消されていない存続期間満了日(2026/12/15),5年,(2022/12/28)
page-6462042,特許2017-108890(2017/06/01),6462042,アメリカ合衆国(310022132)エムアールエイ・システムズ・エルエルシー,断熱ブランケットおよび断熱ブランケット組立体,7,本権利は抹消されていない存続期間満了日(2037/06/01),5年,(2022/12/28)
page-6462121,特許2017-521226(2015/10/20),6462121,フランス(309014746)ジェムアルト　エスアー,サービスにアクセスするための方法、対応する第１のデバイス、第２のデバイス及びシステム,10,本権利は抹消されていない存続期間満了日(2035/10/20),5年,(2022/12/28)
page-6462151,特許2017-553947(2016/04/13),6462151,アメリカ合衆国(594197872)イーライ　リリー　アンド　カンパニー,グレリンＯ－アシルトランスフェラーゼ阻害剤,25,本権利は抹消されていない存続期間満了日(2036/04/13),5年,(2022/12/28)
page-6462152,特許2017-554436(2015/04/27),6462152,アメリカ合衆国(503455363)レイセオン　カンパニー,フル・モーション・カラー・ビデオ大気乱流補正処理,18,本権利は抹消されていない存続期間満了日(2035/04/27),5年,(2022/12/28)
page-6462203,特許2013-164297(2013/08/07),6462203,アメリカ合衆国(591236448)エスティーマイクロエレクトロニクス，インコーポレイテッド,最外フィンの外側表面上のエピタキシャル成長バリアを含むマルチフィンＦＩＮＦＥＴ装置及び関連方法,35,本権利は抹消されていない存続期間満了日(2033/08/07),5年,(2022/12/28)
page-6462576,特許2015-537754(2013/10/14),6462576,アメリカ合衆国(500100822)ティコナ・エルエルシー,静電気防止液晶ポリマー組成物,22,本権利は抹消されていない存続期間満了日(2033/10/14),5年,(2022/12/28)
page-6462670,特許2016-519328(2014/10/01),6462670,アメリカ合衆国(503170721)フェデラル－モーグル・パワートレイン・リミテッド・ライアビリティ・カンパニー,可撓性の向上したラップ可能なラミネート加工された繊維スリーブとラップ可能な繊維スリーブのホイル層のクラッキングを低減する方法,17,本権利は抹消されていない存続期間満了日(2034/10/01),5年,(2022/12/28)
page-6462672,特許2016-522007(2014/10/06),6462672,アメリカ合衆国(515269383)ザ　ケマーズ　カンパニー　エフシー　リミテッド　ライアビリティ　カンパニー,ジフルオロメタン、ペンタフルオロエタン、テトラフルオロエタン及びテトラフルオロプロペンを含有する組成物、及びその使用,9,本権利は抹消されていない存続期間満了日(2034/10/06),5年,(2022/12/28)
page-6462674,特許2016-522633(2014/07/03),6462674,フランス国(516005245)ヴィルモラン・エ・シエ,種子の消毒のための処理,16,本権利は抹消されていない存続期間満了日(2034/07/03),5年,(2022/12/28)
page-6462696,特許2016-540303(2014/09/02),6462696,アメリカ合衆国(505005049)スリーエム　イノベイティブ　プロパティズ　カンパニー,視標追跡機能を備えるヘッドマウント式ディスプレイ,4,本権利は抹消されていない存続期間満了日(2034/09/02),5年,(2022/12/28)
page-6462697,特許2016-541114(2014/12/19),6462697,アメリカ合衆国(595117091)ベクトン・ディキンソン・アンド・カンパニー,輸液セットの接着剤システム,10,本権利は抹消されていない存続期間満了日(2034/12/19),5年,(2022/12/28)
page-6462699,特許2016-544081(2014/12/22),6462699,アメリカ合衆国(515269383)ザ　ケマーズ　カンパニー　エフシー　リミテッド　ライアビリティ　カンパニー,チャンバクリーニング及び半導体エッチング用ガス,22,本権利は抹消されていない存続期間満了日(2034/12/22),5年,(2022/12/28)
page-6462700,特許2016-544330(2014/08/18),6462700,アメリカ合衆国(391028362)ダブリュ．エル．ゴア　アンド　アソシエイツ，インコーポレイティド,適合性微多孔繊維及びこれを含む織物,24,本権利は抹消されていない存続期間満了日(2034/08/18),5年,(2022/12/28)
page-6462759,特許2017-084772(2011/04/14),6462759,アメリカ合衆国(595117091)ベクトン・ディキンソン・アンド・カンパニー,閉鎖式および通気用の危険有害性薬物のＩＶセットを提供するためのシステムおよび方法,11,本権利は抹消されていない存続期間満了日(2031/04/14),5年,(2022/12/28)
page-6462768,特許2017-104474(2012/09/18),6462768,アメリカ合衆国(500100822)ティコナ・エルエルシー,ポリアリーレンスルフィド／液晶ポリマーアロイ及び、それを含む組成物,20,本権利は抹消されていない存続期間満了日(2032/09/18),5年,(2022/12/28)
page-6462811,特許2017-182275(2014/09/02),6462811,アメリカ合衆国(514205768)イー・インク・カリフォルニア・リミテッド・ライアビリティ・カンパニー,反偽造応用のための電気泳動ディスプレイフィルム,7,本権利は抹消されていない存続期間満了日(2034/09/02),5年,(2022/12/28)
page-6462842,特許2017-252294(2014/03/10),6462842,大阪府大阪市(000002934)武田薬品工業株式会社,ピリジニルトリアゾロン誘導体及び縮合ピリジニルトリアゾロン誘導体,20,本権利は抹消されていない存続期間満了日(2034/03/10),5年,(2022/12/28)
page-6462848,特許2017-503515(2015/05/12),6462848,アメリカ合衆国(391028362)ダブリュ．エル．ゴア　アンド　アソシエイツ，インコーポレイティド,細菌濾過用のフルオロポリマー製物品,13,本権利は抹消されていない存続期間満了日(2035/05/12),5年,(2022/12/28)
page-6462911,特許2018-009987(2014/03/26),6462911,大阪府大阪市(000002934)武田薬品工業株式会社,６－（５－ヒドロキシ－１Ｈ－ピラゾール－１－イル）ニコチンアミド誘導体およびＰＨＤ阻害剤としてのそれらの使用,9,本権利は抹消されていない存続期間満了日(2034/03/26),5年,(2022/12/28)
page-6462989,特許2014-041152(2014/03/04),6462989,アメリカ合衆国(518384618)ハウメット　エアロスペース　インコーポレイテッド,炉内切断で長いインゴットを製作する方法,19,本権利は抹消されていない存続期間満了日(2034/03/04),5年,(2022/12/28)
page-6463347,特許2016-520428(2014/06/17),6463347,フランス国(504255249)ヴァルレック　オイル　アンド　ガス　フランス 東京都千代田区(000006655)日本製鉄株式会社,炭化水素坑井の掘削と操業のためのねじ接続を形成するアセンブリ、ねじ接続、およびそのねじ接続を形成するための方法,16,本権利は抹消されていない存続期間満了日(2034/06/17),5年,(2022/12/28)
page-6463397,特許2017-043950(2017/03/08),6463397,スウェーデン国(502208205)アクシス　アーベー,ビデオストリームをエンコードするための方法及びシステム,15,本権利は抹消されていない存続期間満了日(2037/03/08),5年,(2022/12/28)
page-6463429,特許2017-165311(2008/05/16),6463429,アメリカ合衆国(509140803)ルトニックス・インコーポレーテッド,医療装置のための薬物放出コーティング,6,本権利は抹消されていない存続期間満了日(2028/05/16),5年,(2022/12/28)
page-6463579,特許2016-527058(2014/07/16),6463579,アメリカ合衆国(397050741)マイクロチップ　テクノロジー　インコーポレイテッド,隠れマルコフモデルベースのジェスチャ認識のための方法,29,本権利は抹消されていない存続期間満了日(2034/07/16),5年,(2022/12/28)
page-6463597,特許2013-231450(2013/11/07),6463597,アメリカ合衆国(505347433)ロックウェル・コリンズ・インコーポレーテッド アメリカ合衆国(306033704)ディジレンズ　インコーポレイテッド,透明導波管ディスプレイ,12,本権利は抹消されていない存続期間満了日(2033/11/07),5年,(2022/12/28)
page-6463602,特許2014-041150(2014/03/04),6463602,アメリカ合衆国(518384618)ハウメット　エアロスペース　インコーポレイテッド,長いインゴットを鋳造するための連続鋳造炉,19,本権利は抹消されていない存続期間満了日(2034/03/04),5年,(2022/12/28)
page-6463604,特許2014-124290(2014/06/17),6463604,アメリカ合衆国(512269650)コヴィディエン　リミテッド　パートナーシップ,電気機械的外科手術デバイスおよびシステムのための緊急引き込みの方法,16,本権利は抹消されていない存続期間満了日(2034/06/17),5年,(2022/12/28)
page-6463632,特許2014-519348(2012/07/12),6463632,オーストラリア(500046450)レスメド・プロプライエタリー・リミテッド,布地マスクシステム,50,本権利は抹消されていない存続期間満了日(2032/07/12),5年,(2022/12/28)
page-6463633,特許2014-532473(2012/09/26),6463633,イギリス国(594154428)エイアールエム　リミテッド,ベクトルアクセス命令に応答してデータにアクセスするためのベクトルデータアクセスユニット及びデータ処理装置,25,本権利は抹消されていない存続期間満了日(2032/09/26),5年,(2022/12/28)
page-6463651,特許2015-067725(2015/03/27),6463651,アメリカ合衆国(500080214)イー　インク　コーポレイション,電気泳動粒子、電気泳動粒子の製造方法、電気泳動分散液、電気泳動シート、電気泳動装置および電子機器,15,本権利は抹消されていない存続期間満了日(2035/03/27),5年,(2022/12/28)
page-6463659,特許2015-171851(2009/05/20),6463659,アメリカ合衆国(510307130)アヴァント・メディカル・コーポレーション,オートインジェクタシステム,14,本権利は抹消されていない存続期間満了日(2029/05/20),5年,(2022/12/28)
page-6463676,特許2015-526495(2013/08/08),6463676,ニュージーランド(513259285)フィッシャー　アンド　ペイケル　ヘルスケア　リミテッド,調整可能なエルボーを備える呼吸管アセンブリ,18,本権利は抹消されていない存続期間満了日(2033/08/08),5年,(2022/12/28)
page-6463693,特許2015-549695(2013/12/19),6463693,アメリカ合衆国(391028362)ダブリュ．エル．ゴア　アンド　アソシエイツ，インコーポレイティド,幾何学的形状の人工心臓弁,15,本権利は抹消されていない存続期間満了日(2033/12/19),5年,(2022/12/28)
page-6463715,特許2016-199072(2012/08/20),6463715,アメリカ合衆国(510288714)サンバイオ，インコーポレイティド,神経原生及びグリア原生因子及びそれらについてのアッセイ,23,本権利は抹消されていない存続期間満了日(2032/08/20),5年,(2022/12/28)
page-6463729,特許2016-504720(2014/03/18),6463729,フランス国(315008740)サフラン　エアークラフト　エンジンズ,二重式予圧付軸受,9,本権利は抹消されていない存続期間満了日(2034/03/18),5年,(2022/12/28)
page-6463731,特許2016-507621(2014/04/08),6463731,アメリカ合衆国(515278835)アパマ・メディカル・インコーポレーテッド,映像化システム,14,本権利は抹消されていない存続期間満了日(2034/04/08),5年,(2022/12/28)
page-6463746,特許2016-522713(2014/06/30),6463746,フランス国(315008740)サフラン　エアークラフト　エンジンズ フランス(507058339)ヨーロピアン・エアロノーティック・ディフェンス・アンド・スペース・カンパニー・イーズ・フランス フランス国(516005256)エアバス　エリコプテル,高エネルギービームと共に目標方法／材料の組合せに適した粉体を用いる、粉体粒子の融解又は焼結による部品の付加的な製造方法,13,本権利は抹消されていない存続期間満了日(2034/06/30),5年,(2022/12/28)
page-6463749,特許2016-525578(2014/10/20),6463749,オランダ王国(510185767)ドルビー・インターナショナル・アーベー,２Ｄセットアップを使用したオーディオ再生のためのアンビソニックス・オーディオ音場表現を復号する方法および装置,10,本権利は抹消されていない存続期間満了日(2034/10/20),5年,(2022/12/28)
page-6463784,特許2017-000933(2012/08/10),6463784,アメリカ合衆国(391028362)ダブリュ．エル．ゴア　アンド　アソシエイツ，インコーポレイティド,外転可能シース装置、システム、および、方法,31,本権利は抹消されていない存続期間満了日(2032/08/10),5年,(2022/12/28)
page-6463787,特許2017-013321(2011/12/07),6463787,アメリカ合衆国(509146126)コンバテック・テクノロジーズ・インコーポレイテッド,創傷滲出液システム付属装置,10,本権利は抹消されていない存続期間満了日(2031/12/07),5年,(2022/12/28)
page-6463824,特許2017-224948(2005/05/06),6463824,アメリカ合衆国(595117091)ベクトン・ディキンソン・アンド・カンパニー,接触作動式ランセット装置,5,本権利は抹消されていない存続期間満了日(2025/05/06),5年,(2022/12/28)
page-6463831,特許2017-504107(2015/07/24),6463831,アメリカ合衆国(504293447)インターナショナル・ペーパー・カンパニー アメリカ合衆国(517020687)インテグレイテッド　テスト　アンド　メジャメント,ボイラ伝熱面上のファウリングの場所を判定するためのシステムおよび方法,31,本権利は抹消されていない存続期間満了日(2035/07/24),5年,(2022/12/28)
page-6463887,特許2013-545500(2011/12/21),6463887,イギリス国(590004718)ジョンソン、マッセイ、パブリック、リミテッド、カンパニー,酸化触媒を含む希薄燃焼内燃機関の排気ガス処理装置及び酸化触媒の酸化活性の回復方法,9,本権利は抹消されていない存続期間満了日(2031/12/21),5年,(2022/12/28)
page-6463968,特許2014-519158(2012/06/29),6463968,アメリカ合衆国(398050098)バイオジェン・エムエイ・インコーポレイテッド,アルギニンを含まない腫瘍壊死因子受容体：ＦＣ融合ポリペプチド組成物およびその使用方法,14,本権利は抹消されていない存続期間満了日(2032/06/29),5年,(2022/12/28)
page-6464145,特許2016-505837(2014/04/04),6464145,スイス(511031755)ノヴォ・ノルディスク・ヘルス・ケア・アーゲー,成長ホルモン化合物製剤,28,本権利は抹消されていない存続期間満了日(2036/04/14),5年,(2022/12/28)
page-6464149,特許2016-513264(2014/04/15),6464149,イギリス国(512308720)ジャガー　ランド　ローバー　リミテッド,車両ドライブラインの制御システム、制御方法、および該制御システムを備えた動力車両,10,本権利は抹消されていない存続期間満了日(2034/04/15),5年,(2022/12/28)
page-6464150,特許2016-515034(2014/05/20),6464150,アメリカ合衆国(591025439)ザイリンクス　インコーポレイテッド,スタックドダイアセンブリのためのインターポーザ上の電荷損傷保護,14,本権利は抹消されていない存続期間満了日(2034/05/20),5年,(2022/12/28)
page-6464168,特許2016-534187(2014/11/25),6464168,フランス国(505277691)サフラン・エアクラフト・エンジンズ,外部軸受リングを保持するための改良型手段を含む、タービンエンジンシャフトの回転を中心合わせおよび案内する装置,11,本権利は抹消されていない存続期間満了日(2034/11/25),5年,(2022/12/28)
page-6464198,特許2016-569630(2015/06/05),6464198,イギリス国(310004529)サン－ゴバン　パフォーマンス　プラスティックス　レンコール　リミティド,トレランスリング,13,本権利は抹消されていない存続期間満了日(2035/06/05),5年,(2022/12/28)
page-6464229,特許2017-125946(2017/06/28),6464229,スイス国(504341564)モントレー　ブレゲ・エス　アー,時計の機構を切り替える装置を備える時計,16,本権利は抹消されていない存続期間満了日(2037/06/28),5年,(2022/12/28)
page-6464230,特許2017-131183(2011/12/26),6464230,アメリカ合衆国(513109016)コビディエン　エルピー,柔軟な流体冷却シャフトを備えたエネルギー伝達装置、それと共に使用するのに適した流入／流出接合部およびそれらを含むシステム,20,本権利は抹消されていない存続期間満了日(2031/12/26),5年,(2022/12/28)
page-6464242,特許2017-195399(2010/12/22),6464242,ニュージーランド(504298349)フィッシャー　アンド　ペイケル　ヘルスケア　リミテッド,患者用インタフェース及びヘッドギア,32,本権利は抹消されていない存続期間満了日(2030/12/22),5年,(2022/12/28)
page-6464253,特許2017-501003(2015/07/01),6464253,アメリカ合衆国(591025439)ザイリンクス　インコーポレイテッド,インターバス通信のブリッジング,14,本権利は抹消されていない存続期間満了日(2035/07/01),5年,(2022/12/28)
page-6464286,特許2017-561289(2016/05/27),6464286,アメリカ合衆国(591069732)マクダーミッド　インコーポレーテッド,無電解めっき用の前処理方法,16,本権利は抹消されていない存続期間満了日(2036/05/27),5年,(2022/12/28)
page-6464320,特許2018-517728(2016/08/02),6464320,アメリカ合衆国(500147506)シリコン　ストーリッジ　テクノロージー　インコーポレイテッド,シリコンオンインシュレータ基板を備えた埋め込みメモリデバイスを製造する方法,8,本権利は抹消されていない存続期間満了日(2036/08/02),5年,(2022/12/28)
page-6465289,特許2015-006953(2015/01/16),6465289,茨城県つくば市(504171134)国立大学法人　筑波大学 東京都大田区(000001007)キヤノン株式会社,柔軟物の状態計算方法、ロボット軌道生成装置、ロボット装置、プログラム及び記録媒体,11,本権利は抹消されていない存続期間満了日(2035/01/16),4年,(2022/12/28)
page-6465468,特許2017-538591(2015/04/23),6465468,アメリカ合衆国(511076424)ヒューレット－パッカード　デベロップメント　カンパニー　エル．ピー．,印刷材料カートリッジ,15,本権利は抹消されていない存続期間満了日(2035/04/23),5年,(2022/12/28)
page-6465547,特許2013-552624(2012/02/02),6465547,アメリカ合衆国(505005049)スリーエム　イノベイティブ　プロパティズ　カンパニー,ハードコート,7,本権利は抹消されていない存続期間満了日(2032/02/02),5年,(2022/12/28)
page-6465800,特許2015-526635(2013/08/06),6465800,アメリカ合衆国(398050098)バイオジェン・エムエイ・インコーポレイテッド,エンベロープウイルスを不活化するための方法および組成物,31,本権利は抹消されていない存続期間満了日(2033/08/06),5年,(2022/12/28)
page-6638890,特許2017-526939(2016/01/13),6638890,アメリカ合衆国(513125245)スプリント　コミュニケーションズ　カンパニー　エル．ピー．,ダイナミック加入者識別モジュール,25,本権利は抹消されていない存続期間満了日(2036/01/13),4年,(2022/12/28)
page-6638968,特許2017-535424(2016/01/28),6638968,スイス国(311007051)シクパ　ホルディング　ソシエテ　アノニム,セキュリティ物品及びセキュリティ物品ユーザの識別の同時認証,14,本権利は抹消されていない存続期間満了日(2036/01/28),4年,(2022/12/28)
